"Language Packs","Paquetes de idioma"
"Attention: Your Locale Pack doesn\'t match your Magento Version. <a href='%s'>Get more information here.</a>","Atención: Su paquete de idioma no coincide con la versión de Magento. Obtenga más información <a href='%s'>aquí</a>."
"Canada","Canadá"
"France","França"
"Guiana","Guiana"
"French (Canada)","Francês (Canadá)"
"French (France)","Francês (França)"
"French (Guiana)","Francês (Guiana)"
"French language package fr_CA - Community Edition (CE)","Pacote de língua francesa fr_CA - Community Edition (CE)"
"French language package fr_FR - Community Edition (CE)","Pacote de língua francesa fr_FR - Community Edition (CE)"
"French language package fr_GY - Community Edition (CE)","Pacote de língua francesa fr_GY - Community Edition (CE)"
"The <span style='color:red'>%s</span> language pack in version <span style='color:red'>%s</span> has been successfully installed.","O pacote de idiomas <span style='color:red'>%s</span> na versão <span style='color:red'>%s</span> foi instalado com sucesso."
"On the <a href='%s'>Magento Connect page of the French language pack</a>, you can find more information on the latest versions.","Na <a href='%s'>Magento Connect página do pacote de idioma francês</a> você pode encontrar mais informações sobre as últimas versões."
"For those interested there is a <a href='%s'>GitHub repository</a>. It is provided for the following purposes:","Para los interesados hay un <a href='%s'>repositorio de GitHub</a>. Se suministra con los siguientes fines:"
"Development of current language pack versions","Desarrollo de las versiones lingüísticas de corriente de carga"
"Report an error / send in patches, also happy for both published releases","Señalar un error / enviar parches, también feliz para ambas publicaciones liberados"
"Alternative Downloads (regardless of official sources)","Descargas alternativos (sin tener en cuenta las fuentes oficiales)"
"Copy / forks for their own purposes","Copiar / horquillas para sus propios fines"
"Active participation in the language pack","Participación activa en el paquete de idioma"
"View Preview versions & test","Ver y probar las versiones de vista previa"
"Note for detailed information, the README file on the GitHub page.","Nota: Para obter informações detalhadas, o arquivo LEAME/README no página GitHub."
"In order to ensure the translation Magento coverage, please see the information in the lower paragraphs!","A fim de garantir a cobertura de tradução Magento, por favor, consulte as informações abaixo de parágrafos!"
"powered by","distribuído por"
"and","e"
"Translate Magento Connect Manager","Traduzir Gestão Magento Connect"
"To install the translation for the Magento Connect Manager, proceed as follows:","Para instalar a tradução para Magento Connect Manager, faça o seguinte:"
"In your Magento root directory in the subfolder ""%s"" rename the folder ""%s"" into ""%s"".","No diretório raiz do Magento na subdiretório ""%s"" renomeie diretório ""%s"" no ""%s""."
"The directory","O diretório"
"or","ou"
"from","de"
"rename into ""template""","renomear uma ""template"""
"The Magento Connect Manager should be changed to French now.","O Magento Connect Manager deve ser alterado para <span style='color:red'>Francês</span> agora."
"Please note:","Observe:"
"If Magento is updated, in particular the module ""Mage_Downloader"", the settings of the Connect Manager will be overwritten!","Si se actualiza Magento, en particular, el módulo ""Mage_Downloader"", se sobrescribirá la configuración del Connect Manager!"
"The same applies to the TinyMCE editor. Run in the case a ""Reinstall"" the language pack and repeat the described steps.","Lo mismo se aplica al editor TinyMCE. Ejecutar en el caso de un ""Reinstall"" del paquete de idioma y repetir los pasos descritos."
"Using your own translations","Usando suas próprias traduções"
"Recommended extensions","Extensões recomendadas"
"The installed language pack only provides translations of in Magento existing texts. If you want to prepare your Magento store on the legal requirements in %s or expand common payment methods, we recommend to install the following additional extensions.","O pacote de idiomas instalados apenas fornece traduções de textos existentes no Magento. Se você quiser preparar sua loja Magento sobre os requisitos legais na %s ou expandir os métodos de pagamento comuns, então nós recomendamos que você instale as seguintes extensões adicionais."
"Specific market adjustment for","Ajuste de mercado específico para"
"French and Canadian stores","lojas francesas e canadenses"
"French and European stores","lojas francesas e europeias"
"French and Latin American stores","lojas francesas e latino-americanos"
"Currently not available","Indisponível no momento"
"Common payment methods","Métodos de pagamento comuns"
"Debit / direct debit","Débito / débito directo"
"Cash On Delivery","Contra reembolso"
"Payment in Advance","Pago por adelantado"
"Extension Key for the","Chave de extensão para o"
"on","em"
"Translate TinyMCE","Traduzir TinyMCE"
"Use French language for TinyMCE Editor?","Use versão francesa do editor TinyMCE?"
